wave,name,start_delay,wait_until_defeated,enemy_scene,quantity,spawn_time_offset,spawn_interval,spawn_after_previous_group,spawn_delay,auto_start,outside_camera_margin_pixels
1,Wave 1,0,false,res://Asset/char2_enemy/bat/bat01.tscn,5,0,0.2,false,0,true,20
,,,,,,,,,,,
2,Wave 2,0,false,res://Asset/char2_enemy/skeleton/skeleton01.tscn,5,30,0.2,false,0,,
,,,,,,,,,,,
3,Wave 3,0,false,res://Asset/char2_enemy/bat/bat01.tscn,15,60,0.2,false,0,,
,,,,,,,,,,,
4,Wave 4,0,false,res://Asset/char2_enemy/bat/bat01.tscn,15,90,0.2,false,0,,
,,,,,,,,,,,
5,Wave 5,0,false,res://Asset/char2_enemy/bat/bat02.tscn,15,120,0.2,false,0,,
,,,,,,,,,,,
6,Wave 6,0,false,res://Asset/char2_enemy/skeleton/skeleton01.tscn,30,150,0.2,false,0,,
,,,,,,,,,,,
7,Wave 7,0,false,res://Asset/char2_enemy/skeleton/skeleton02.tscn,30,180,0.2,false,0,,
,,,,,,,,,,,
8,Wave 8,0,false,res://Asset/char2_enemy/skeleton/skeleton01.tscn,60,210,0.2,false,0,,
,,,,,,,,,,,
9,Wave 9,0,false,res://Asset/char2_enemy/skeleton/skeleton02.tscn,60,240,0.2,false,0,,
,,,,,,,,,,,
10,Wave 10,0,false,res://Asset/char2_enemy/skeleton/skeleton03.tscn,60,540,0.2,false,0,,
